barangay,municipality,province,case_status,date,case_status_fct,case_type,year,island
Apitong,Boac,Marinduque,Confirmed,24/09/2023,Confirmed (Animal),Animal,2023,Marinduque
Balogo,Boac,Marinduque,Confirmed,10/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Agumaymayan,Boac,Marinduque,Confirmed,06/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Laylay,Boac,Marinduque,Confirmed,23/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Bangbangalon,Boac,Marinduque,Probable,13/10/2023,Probable (Animal),Animal,2023,Marinduque
Bangbangalon,Boac,Marinduque,Probable,16/10/2023,Probable (Animal),Animal,2023,Marinduque
Bangbangalon,Boac,Marinduque,Confirmed,16/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Isok I,Boac,Marinduque,Confirmed,21/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Bocboc,Mogpog,Marinduque,Confirmed,22/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Pili,Boac,Marinduque,Confirmed,22/10/2023,Confirmed (Animal),Animal,2023,Marinduque
Tabi,Boac,Marinduque,Confirmed,08/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Pili,Boac,Marinduque,Confirmed,08/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Maligaya,Boac,Marinduque,Confirmed,08/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Maligaya,Boac,Marinduque,Confirmed,07/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Balimbing,Boac,Marinduque,Confirmed,28/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Poras,Boac,Marinduque,Confirmed,24/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Lupac,Boac,Marinduque,Confirmed,26/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Maligaya,Boac,Marinduque,Confirmed,28/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Laon,Mogpog,Marinduque,Confirmed,28/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Poctoy,Boac,Marinduque,Confirmed,27/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Cawit,Boac,Marinduque,Confirmed,27/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Bunganay,Boac,Marinduque,Confirmed,28/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Tabigue,Boac,Marinduque,Confirmed,05/12/2023,Confirmed (Animal),Animal,2023,Marinduque
Hinapulan,Boac,Marinduque,Confirmed,05/12/2023,Confirmed (Animal),Animal,2023,Marinduque
Dampulan,Torrijos,Marinduque,Confirmed,05/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Malusak,Boac,Marinduque,Confirmed,09/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,09/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Maybo,Boac,Marinduque,Probable,29/12/2023,Probable (Animal),Animal,2023,Marinduque
Buangan,Torrijos,Marinduque,Confirmed,15/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,18/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Santol,Boac,Marinduque,Probable,18/01/2024,Probable (Animal),Animal,2024,Marinduque
Lupac,Boac,Marinduque,Confirmed,23/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Laylay,Boac,Marinduque,Confirmed,24/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,25/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Poblacion,Torrijos,Marinduque,Confirmed,25/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Tampus,Boac,Marinduque,Confirmed,31/01/2024,Confirmed (Animal),Animal,2024,Marinduque
San Isidro,Santa Cruz,Marinduque,Confirmed,31/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay IV,Buenavista,Marinduque,Confirmed,31/01/2024,Confirmed (Animal),Animal,2024,Marinduque
Tabi,Boac,Marinduque,Confirmed,01/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,08/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Bangbangalon,Boac,Marinduque,Confirmed,20/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,16/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,19/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,13/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,14/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Bangbangalon,Boac,Marinduque,Confirmed,16/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Bamban,Boac,Marinduque,Confirmed,28/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,26/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Buangan,Torrijos,Marinduque,Confirmed,28/02/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,05/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Tugos,Boac,Marinduque,Confirmed,06/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,06/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay IV,Buenavista,Marinduque,Confirmed,13/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Tugos,Boac,Marinduque,Confirmed,12/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,17/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,20/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay II,Buenavista,Marinduque,Confirmed,20/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,25/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,29/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Mendez,Mogpog,Marinduque,Confirmed,17/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Villa Mendez,Mogpog,Marinduque,Confirmed,20/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Villa Mendez,Mogpog,Marinduque,Confirmed,31/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,29/03/2024,Confirmed (Animal),Animal,2024,Marinduque
Cabugao,Gasan,Marinduque,Confirmed,02/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,02/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Malibago,Torrijos,Marinduque,Confirmed,04/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Murallon,Boac,Marinduque,Confirmed,05/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Bangbangalon,Boac,Marinduque,Confirmed,07/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,11/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Libjo,Santa Cruz,Marinduque,Confirmed,09/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,06/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Bicas-Bicas,Buenavista,Marinduque,Confirmed,11/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay II,Buenavista,Marinduque,Confirmed,11/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Yook,Buenavista,Marinduque,Confirmed,12/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Buangan,Torrijos,Marinduque,Confirmed,15/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Mahunig,Gasan,Marinduque,Confirmed,18/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Bagtingon,Buenavista,Marinduque,Confirmed,18/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Matandang Gasan,Gasan,Marinduque,Confirmed,19/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Malibago,Torrijos,Marinduque,Confirmed,20/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Pulong-Parang,Santa Cruz,Marinduque,Confirmed,20/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Marlangga,Torrijos,Marinduque,Confirmed,21/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Mangiliol,Gasan,Marinduque,Confirmed,22/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,24/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Poras,Boac,Marinduque,Confirmed,25/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Bagacay,Buenavista,Marinduque,Confirmed,28/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay IV,Buenavista,Marinduque,Confirmed,02/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,03/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,30/04/2024,Confirmed (Animal),Animal,2024,Marinduque
Mainit,Boac,Marinduque,Confirmed,08/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay II,Buenavista,Marinduque,Confirmed,09/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Bangbangalon,Boac,Marinduque,Confirmed,09/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Yook,Buenavista,Marinduque,Confirmed,07/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Yook,Buenavista,Marinduque,Confirmed,13/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,17/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,16/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Daykitin,Buenavista,Marinduque,Confirmed,21/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Bunganay,Boac,Marinduque,Confirmed,29/05/2024,Confirmed (Animal),Animal,2024,Marinduque
Masiga,Gasan,Marinduque,Confirmed,05/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Dampulan,Torrijos,Marinduque,Confirmed,06/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Dawis,Gasan,Marinduque,Confirmed,07/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Lupac,Boac,Marinduque,Confirmed,09/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Libas,Buenavista,Marinduque,Confirmed,14/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay IV,Buenavista,Marinduque,Confirmed,28/06/2024,Confirmed (Animal),Animal,2024,Marinduque
Angas,Santa Cruz,Marinduque,Confirmed,08/07/2024,Confirmed (Animal),Animal,2024,Marinduque
Caigangan,Buenavista,Marinduque,Confirmed,09/07/2024,Confirmed (Animal),Animal,2024,Marinduque
Maybo,Boac,Marinduque,Confirmed,31/05/2023,Confirmed (Animal),Animal,2023,Marinduque
Tawiran,Santa Cruz,Marinduque,Confirmed,11/11/2024,Confirmed (Animal),Animal,2024,Marinduque
Tagum,Santa Cruz,Marinduque,Confirmed,14/08/2024,Confirmed (Animal),Animal,2024,Marinduque
Sawi,Boac,Marinduque,Confirmed,22/08/2024,Confirmed (Animal),Animal,2024,Marinduque
Barangay I,Buenavista,Marinduque,Confirmed,15/07/2024,Confirmed (Animal),Animal,2024,Marinduque
Tungib-Lipata,Buenavista,Marinduque,Confirmed,09/10/2024,Confirmed (Animal),Animal,2024,Marinduque
Yook,Buenavista,Marinduque,Confirmed,08/09/2024,Confirmed (Animal),Animal,2024,Marinduque
Bangbang,Gasan,Marinduque,Confirmed,19/11/2024,Confirmed (Animal),Animal,2024,Marinduque
Bahi,Gasan,Marinduque,Confirmed,16/12/2024,Confirmed (Animal),Animal,2024,Marinduque
Ihatub,Boac,Marinduque,Confirmed,17/12/2024,Confirmed (Animal),Animal,2024,Marinduque
Bocboc,Mogpog,Marinduque,Confirmed,06/01/2025,Confirmed (Animal),Animal,2025,Marinduque
Bunganay,Boac,Marinduque,Confirmed,24/12/2024,Confirmed (Animal),Animal,2024,Marinduque
Suha,Torrijos,Marinduque,Confirmed,07/01/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Probable,28/03/2025,Probable (Animal),Animal,2025,Marinduque
Magapua,Mogpog,Marinduque,Confirmed,20/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Isok I,Boac,Marinduque,Confirmed,13/11/2023,Confirmed (Animal),Animal,2023,Marinduque
Hupi,Santa Cruz,Marinduque,Probable,28/05/2025,Probable (Animal),Animal,2025,Marinduque
Matalaba,Santa Cruz,Marinduque,Confirmed,03/06/2025,Confirmed (Animal),Animal,2025,Marinduque
Tiguion,Gasan,Marinduque,Confirmed,20/07/2025,Confirmed (Animal),Animal,2025,Marinduque
Masaguisi,Santa Cruz,Marinduque,Confirmed,02/09/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Confirmed,15/10/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Confirmed,15/10/2025,Confirmed (Animal),Animal,2025,Marinduque
Buyabod,Santa Cruz,Marinduque,Probable,02/10/2025,Probable (Animal),Animal,2025,Marinduque
Balanacan,Mogpog,Marinduque,Confirmed,22/12/2025,Confirmed (Animal),Animal,2025,Marinduque
Ino,Mogpog,Marinduque,Confirmed,15/01/2026,Confirmed (Animal),Animal,2026,Marinduque
Tigwi,Torrijos,Marinduque,Confirmed,14/01/2026,Confirmed (Animal),Animal,2026,Marinduque
Ino,Buenavista,Marinduque,Confirmed,20/03/2026,Confirmed (Animal),Animal,2026,Marinduque
Malibago,Torrijos,Marinduque,Probable,20/03/2026,Probable (Animal),Animal,2026,Marinduque
Malibago,Torrijos,Marinduque,Probable,08/04/2026,Probable (Animal),Animal,2026,Marinduque
Magbay,San Jose,Occidental Mindoro,Confirmed,10/02/2024,Confirmed (Animal),Animal,2024,Occidental Mindoro
Adela,Rizal,Occidental Mindoro,Confirmed,15/08/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Mapaya,San Jose,Occidental Mindoro,Confirmed,29/08/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Mabini,San Jose,Occidental Mindoro,Confirmed,10/09/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Bagong Sikat,San Jose,Occidental Mindoro,Confirmed,04/11/2023,Confirmed (Animal),Animal,2023,Occidental Mindoro
Concepcion,Calintaan,Occidental Mindoro,Confirmed,04/02/2022,Confirmed (Animal),Animal,2022,Occidental Mindoro
Rumbang,Rizal,Occidental Mindoro,Confirmed,07/03/2025,Confirmed (Animal),Animal,2025,Occidental Mindoro
Camburay,San Jose,Occidental Mindoro,Confirmed,20/02/2026,Confirmed (Animal),Animal,2026,Occidental Mindoro
Paclolo,Magsaysay,Occidental Mindoro,Confirmed,07/03/2026,Confirmed (Animal),Animal,2026,Occidental Mindoro
Malinao,Naujan,Oriental Mindoro,Confirmed,10/02/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
B. Del Mundo,Mansalay,Oriental Mindoro,Confirmed,02/04/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
Del Pilar,Naujan,Oriental Mindoro,Confirmed,26/09/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
Sapul,Calapan City,Oriental Mindoro,Confirmed,26/01/2020,Confirmed (Animal),Animal,2020,Oriental Mindoro
San Narciso,Victoria,Oriental Mindoro,Confirmed,09/02/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Tabinay,Puerto Galera,Oriental Mindoro,Confirmed,05/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Tabinay,Puerto Galera,Oriental Mindoro,Confirmed,10/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Santo Nino,Puerto Galera,Oriental Mindoro,Confirmed,29/03/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Malapad,Baco,Oriental Mindoro,Confirmed,14/04/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
Salong,Calapan City,Oriental Mindoro,Confirmed,23/04/2021,Confirmed (Animal),Animal,2021,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,05/01/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mayabig,Baco,Oriental Mindoro,Confirmed,14/01/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Anilao,Bongabong,Oriental Mindoro,Confirmed,09/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mangangan I,Baco,Oriental Mindoro,Confirmed,09/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Mangangan I,Baco,Oriental Mindoro,Confirmed,16/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
San Jose,Roxas,Oriental Mindoro,Confirmed,17/02/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Libertad,Roxas,Oriental Mindoro,Confirmed,02/03/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Tagumpay,Baco,Oriental Mindoro,Confirmed,07/03/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Santa Teresita,Mansalay,Oriental Mindoro,Confirmed,22/04/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Polusahi,Bongabong,Oriental Mindoro,Confirmed,29/04/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Narra,Gloria,Oriental Mindoro,Confirmed,08/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Don Pedro,Mansalay,Oriental Mindoro,Confirmed,19/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Zone III,Pinamalayan,Oriental Mindoro,Confirmed,31/05/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Poblacion,Baco,Oriental Mindoro,Confirmed,27/07/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Poblacion,Baco,Oriental Mindoro,Confirmed,12/08/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Bayanan,Pola,Oriental Mindoro,Confirmed,14/08/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Bagumbayan,Roxas,Oriental Mindoro,Confirmed,22/10/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Balugo,Mansalay,Oriental Mindoro,Confirmed,02/12/2022,Confirmed (Animal),Animal,2022,Oriental Mindoro
Odiong,Roxas,Oriental Mindoro,Confirmed,13/03/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,20/03/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Jose,Roxas,Oriental Mindoro,Confirmed,05/05/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Libtong,Roxas,Oriental Mindoro,Confirmed,31/07/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,23/08/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bagumbayan I,Bongabong,Oriental Mindoro,Confirmed,30/08/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Poblacion III,Victoria,Oriental Mindoro,Confirmed,02/10/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Tacligan,San Teodoro,Oriental Mindoro,Probable,25/10/2023,Probable (Animal),Animal,2023,Oriental Mindoro
Malayong,Gloria,Oriental Mindoro,Confirmed,20/10/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,15/11/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
San Isidro,Puerto Galera,Oriental Mindoro,Confirmed,11/11/2023,Confirmed (Animal),Animal,2023,Oriental Mindoro
Bigaan,San Teodoro,Oriental Mindoro,Confirmed,10/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion,Bansud,Oriental Mindoro,Confirmed,16/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Balatero,Puerto Galera,Oriental Mindoro,Confirmed,25/01/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Canubing I,Calapan City,Oriental Mindoro,Confirmed,12/02/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion I,Victoria,Oriental Mindoro,Confirmed,13/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Bagumbayan,Roxas,Oriental Mindoro,Confirmed,26/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Poblacion,Mansalay,Oriental Mindoro,Confirmed,29/03/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Baruyan,Calapan City,Oriental Mindoro,Confirmed,09/04/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
B. Del Mundo,Mansalay,Oriental Mindoro,Confirmed,26/04/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Santa Brigida,Mansalay,Oriental Mindoro,Confirmed,07/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Santa Cruz,Naujan,Oriental Mindoro,Confirmed,11/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Nag-Iba II,Calapan City,Oriental Mindoro,Confirmed,28/05/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Melgar B,Naujan,Oriental Mindoro,Confirmed,08/08/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Rosario,Pinamalayan,Oriental Mindoro,Confirmed,13/09/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
Narra,Gloria,Oriental Mindoro,Confirmed,18/06/2024,Confirmed (Animal),Animal,2024,Oriental Mindoro
